id,name,keywords,description,public_notice,internal_notice,websitename,websiteadresse
148693,Elfi Santa UK,,,,,elfisanta UK en,http://www.elfisanta.uk
148694,James&Co US,,,,,James&Co US,http://jamesandco.boutique
148695,Kiehls Luxury Products US,,,,,Kiehls ES,http://www.kiehls.com
148696,Super Amart AU,,,,,Amart Furniture US,https://www.amartfurniture.com.au
148697,Explore UK,,,,,Explore UK,https://www.explore.co.uk
148698,Smart Office Centre ES,,,,,Cam Kyocera CPL ES,http://content.campaignspartner.com
148699,Lottosend UK,,,,,Lottosend - CPA US,https://www.lottosend.com
148701,The Green People US,"green beauty, natural skin care, organic beauty, organic skincare",,,,The Green People US,http://www.greenpeopleus.com
148703,Carethy PT,,,,,Carethy.pt - Bem estar on-line. PT,https://www.carethy.pt
148704,Coursera US,,,,,Coursera US,http://www.coursera.org
148705,Exeo Entertainment US,,,,,Exeo Entertainment US,http://exeoent.com
148707,Fine Rug Collection US,,,,,Fine Rug Collection US,http://www.finerugcollection.com
148708,GraphicLab US,,,,,GraphicLab US,http://www.graphiclabtees.com
148709,iGrad US,,,,,iGrad US,http://schools.igrad.com
148710,Liberty Bottleworks US,,,,,Liberty Bottleworks US,http://www.libertybottles.com
148711,ManCan Universe US,,,,,ManCan Universe US,http://mancan.beer
148712,Samuels Hats US,,,,,SH US,http://samuelshats.com
148713,Top Thrive US,,,,,Top Thrive US,http://topthrive.com
148714,XesFit US,,,,,Jared Piconi US,http://xesfit.com
148715,123gartenposter DE,,,,,123gartenposter DE,https://www.123gartenposter.de
148716,AZ-Vitamins DE,,,,,AZ-Vitamins DE,https://www.az-vitamins.com
148717,Baliclicksoriginal NL,,,,,Baliclicksoriginal NL,http://www.baliclicksoriginal.com
148718,Brusello BE,,,,,Brusello XL BE,https://www.candor.be
148719,Canvaswinkel NL,,,,,Canvaswinkel NL,https://www.canvaswinkel.nl
148720,CoffeeDesk PL,,,,,CoffeeDesk PL,http://www.coffeedesk.pl
148721,Corin PL,,,,,Corin PL,https://e-corin.eu
148722,Estoestele ES,,,,,Estoestele ES,https://estoestele.es
148723,Famipyro BE,,,,,Famipyro BE,http://nl.famipyro.be
148724,FixInvest DE,,,,,FixInvest DE,http://www.fixinvest.de
148725,Rolf Bestprice RU,,,,,Ford - ?zN�??N�???�?�N???N�?? ?????�?�N� ?�?z?�?�?� ?�??N�?�?�N??????? RU,http://www.rolf-bestprice.ru
148726,France Comfort NL,,,,,France Comfort NL,https://www.francecomfort.com
148727,HiLIQ FR,,,,,HiLIQ FR,http://fr.hiliq.com
148728,Kiesjekoopje NL,,,,,Kiesjekoopje NL,https://www.kiesjekoopje.nl
148729,Leathersofa UK,,,,,Leathersofa.co.uk US,http://www.leathersofa.co.uk
148730,Miamorstyle NL,,,,,Miamorstyle NL,https://www.miamorstyle.com
148731,Vitebsky-Rolf RU,,,,,Mitsubishi - ?zN�??N�???�?�N???N�?? ?????�?�N� ?�?z?�?�?� ?�??N�?�?�N??????? RU,http://www.vitebsky-rolf.ru
148732,Nosefrida-webshop NL,,,,,Nosefrida-webshop NL,http://www.nosefrida-webshop.nl
148733,Nox Riders IT,,,,,Nox Riders IT,http://www.noxriders.com
148734,Olahotels UK,,,,,Olahotels UK,https://www.olahotels.com
148735,Positielingerie NL,,,,,positielingerie.nl NL - FamilyBlend NL,http://www.positielingerie.nl
148736,Purina RU,,,,,Purina ProPlan Kitten&Puppy 2016 RU,https://www.proplan.ru
148737,Toeslagenaanvragen NL,,,,,Toeslagenaanvragen NL,https://www.toeslagenaanvragen.net
148738,Utsukusy-schoonheid NL,,,,,Utsukusy-schoonheid NL,http://www.utsukusy-schoonheid.nl
148739,Vente-Exclusive NL,,,,,Vente Exclusive NL - FamilyBlend NL,https://www.vente-exclusive.com
148740,Waterton NL,,,,,Waterton NL,https://www.waterton.nl
148742,Youppido IT,,,,,Youppido IT,https://www.youppido.com
148743,Adored UK,,,,,Adored.co.uk US,http://www.adored.co.uk
148744,My Bright Whites UK,,,,,My Bright Whites UK,http://www.mybrightwhites.com
148745,Saturdays Surf US,,,,,Saturdays NYC US,http://www.saturdaysnyc.com
148746,Dizen UK,,,,,Dizen UK,http://dizenclothing.co.uk
148747,Scarf Room UK,,,,,Scarf Room US,http://www.scarfroom.co.uk
148748,Cote cosy FR,,,,,Cote cosy FR,http://www.cotecosy.com
148749,Labiomer FR,,,,,Labiomer fr,http://www.labiomer.com
148750,Tous mes meubles FR,,,,,Tous mes meubles FR,http://tousmesmeubles.com
148751,Thinq NL,,,,,Thinq NL,http://www.thinq.nl
148752,Alltricks IT,,,,,Alltricks Italia IT,http://www.alltricks.it
148753,Eurosport UK,,,,,Eurosport UK,http://www.eurosportplayer.co.uk
148754,Bucky Bingo UK,,,,,Bucky Bingo UK,http://www.buckybingo.co.uk
148755,Creative Gadgets UK,,,,,Creative Gadgets UK,http://www.creativegadgets.com
148756,Culture Label UK,,,,,Culture Label UK,http://www.culturelabel.com
148757,Major Travel UK,,,,,Major Travel UK,http://www.majortravel.co.uk
148758,Modelight UK,,,,,Modelight UK,https://www.modelight.co.uk
148759,PocketWin UK,,,,,PocketWin UK,http://www.pocketwin.co.uk
148769,Holzwelt DE,,,,,Mein-Wohndesign24 DE,http://mein-wohndesign24.de
148760,MODOMOTO AT,,,,,MODOMOTO | Gut gekleidet ohne Shopping AT,https://www.modomoto.at
148761,Fitnessfood CH,,,,,Fitnessfood: Sportnahrung CH,http://www.fitnessfood.com
148762,ipilot CH,,,,,ipilot CH,http://www.ipilot.ch
148763,Schmuckpiraten CH,,,,,Schmuckpiraten CH,http://www.schmuckpiraten.ch
148764,Eyedictive US,,,,,Eyedictive,http://eyedictive.com
148765,Insight Vacations US,,,,,Insight Vacations,http://www.insightvacations.com
148766,Payoneer US,,,,,Payoneer,http://www.payoneer.com
148767,OpenClassrooms FR,,,,,OpenClassrooms FR,https://openclassrooms.com
148768,FreeScore360 US,,,,,FreeScore360,http://www.freescore360.com
148771,LifeFinance DE,,,,,LifeFinance DE,http://www.lifefinance.de
148772,Urban Drinks DE,,,,,Urban Drinks DE,https://www.urban-drinks.de
148773,Zimano DE,,,,,Zimano DE,http://www.zimano.de
148774,Allposters NL,,,,,Allposters.nl (Closing 31.10.2017) NL,http://www.allposters.nl
148775,Beautik IT,,,,,Beautik 2015 [closing 12/06/2017] IT,http://www.mybeautik.com
148776,Vivus AR,,,,,Vivus AR [closing 03-05-2018] ES,https://www.vivus.com.ar
148777,Vivus MX,,,,,Vivus LATAM ES,http://www.vivus.com.mx
167085,Car Next Door AU,,,,,Car Next Door AU,https://www.carnextdoor.com.au
148779,umbro US,,,,,Umbro UK,http://www.umbro.co.uk
148780,Veterans Advantage US,,,,,"Veterans Advantage, PBC US",https://www.veteransadvantage.com
148781,Arexons IT,,,,,Arexons IT,https://shop.arexons.com
148782,Carnavalswinkel-online NL,,,,,Carnavalswinkel-online NL,https://carnavalswinkel-online.nl
148784,Game Solution BE,,,,,Cartes-cadeaux de 100�/Cadeaubonnen t.w.v. 10 2,http://www.game-solution.be
148785,Gana tu cafetera Nespresso ES,,,,,Gana tu cafetera Nespresso ES,http://www.ganatucafetera.com
148786,Garage Westkust BE,,,,,Garage Westkust BE,http://westkustparking.be
148787,Gratis winterpas Oostende BE,,,,,Gratis winterpas Oostende BE,http://www.visitoostende.be
148788,Naturalab NO,,,,,Naturalab NO,https://naturalab.no
148789,Naughtybook FI,,,,,Naughtybook FI,http://www.naughtybook.fi
