id,name,keywords,description,public_notice,internal_notice,websitename,websiteadresse
117820,moebel-jack DE,"Mobel, Moebel, Sofas, Wohnaccessoires","Bei Mobel-Jack finden Sie preiswerte Mobel vom Wohn- und Schlafzimmer, uber die Kuche und Bad bis hin zum Kinder- und Jugendzimmer. Weiterhin finden Sie Garderoben, Regalsysteme, Teppiche und Lampen.",,,moebel-jack DE,https://www.moebel-jack.de
115838,FarFetch BR,"Clothing, Accessories",,,,Farfetch.com US,http://www.farfetch.com
115835,DHL Paket DE,"Cities, Counrties & Regions, Other,",,,14.03.2018 Suchmaschinen von uns aus wieder aktiviert,DHL Paket DE,http://www.dhl.de
116434,Toscane-Boutique FR,"Clothing, Accessories, Other",,,,toscane-boutique.fr,http://www.toscane-boutique.fr
116432,Sosh FR,"Cell, Phone & Fax, Internet services, HiFi, TV & Video, Cameras & Camcorders,",,,,Sosh FR,http://www.sosh.fr
116524,Adore Me US,,,,,Adore Me,http://www.adoreme.com
116372,Freepics Online DE,,Bei Freepics Online finden Sie kostenlose Sexbilder mit erotischer Klasse.,,,Freepics Online Kostenlose Erotikbilder,http://www.freepics-online.de
116377,Strichweb DE,,Auf Strichweb.com findest du Madchen und Frauen vom Stra?enstrich auch in deiner Nahe sowie ein gro?es Autostrichverzeichnis und ein Verzeichnis uber den Stra?enstrich in Europa.,,,Hobbynutten.Strichweb.com,http://hobbynutten.strichweb.com
116380,Kontaktanzeigen.tv DE,,"Egal ob Du die Partnerin oder Partner furs Leben oder nur fur eine Nacht suchst -
hier wirst Du auf jeden Fall fundig. Kontaktanzeigen.tv, Partnersuche leicht gemacht.",,,Kontaktanzeigen.tv,http://www.kontaktanzeigen.tv
115740,Jon Richard UK,"Jewellery, Bride, bridal, Wedding, charms, bracelets, necklaces, rings",,,,Jon Richard UK,http://www.jonrichard.com
115745,Marconfort ES,"MarConforts, hotels, apartments, ocio, viaje, vacaciones, travel",,,,MarConfort UK,https://en.marconfort.com
117695,Freedom Finance UK,,,,,Freedom Finance UK,http://www.freedomfinance.co.uk
116420,Lekiosk FR,"Books, Music, Movies, HiFi, TV, Video, Cell, Phone, Fax, Other",,,,LeKiosk fr,https://www2.lekiosk.com
116424,mona AT,"Clothing, Accessories","MONA � der Spezialist fur exklusive und elegante Damenmode. Herausragende Qualitat, perfekte Passform und ansprechendes Design stehen bei MONA bis an erster Stelle. Ausgewahlte Marken bestimmen das hochwertige Sortiment an Blusen, Kostumen, Hosenanzugen und vielem mehr.",,,mona AT,http://www.mona-mode.at
116425,Monobrandstores NL,"Shopping & Mail Order Shops, ",,,,LOOkX NL,http://www.eenmedia.nl
116426,Oscaro FR,"Cars & Motorbikes, ",,,,Oscaro.com,http://www.oscaro.com
116715,The Russian Business DE,,,,,The Russian Business DE,http://www.therussianbusiness.de
116716,VITEZ DE,,"Nach Gesundheit, Leistungsfahigkeit und einem attraktiven Aussehen streben wir alle, Mikronahrstoffen unterstutzen diese Ziele. Bei Vitez bekommen sie Vitamine, Mineralien, Spurenelemente und naturliche Anti-Oxidantien. Nutzen Sie VITEZ, die moderne Art das Beste fur Ihren Korper zu tun.",,,VITEZ DE AT,http://de.vitez.com
116624,Tessuti UK,,,,,Tessuti UK,https://www.tessuti.co.uk
116623,SuperStar Tickets US,,,,,SuperStar Tickets US,https://www.superstar.com
117499,Bluefly US,Womens,,,,Bluefly (PAUSED) ,https://www.partnerize.com
117500,BodyGuardz US,ConsumerElectronics,,,,BodyGuardz US,http://www.bodyguardz.com
117502,Cell2Get US,"Online, Wireless",,,,Cell2Get,http://www.cell2get.com
117510,Crystone US,"WebHosting, Servers",,,,Crystone,http://www.crystone.com
117511,Daily Sale US,ConsumerElectronics,,,,Daily Sale US,http://dailysale.com
116807,Jibtel BE,"Other, Cell, Phone & Fax, ",,,,Jibtel FR,http://www.jibtel.com
117166,score2win DE,,"score2win ist die erste Highscore-Gaming-Plattform mit Gewinnen im Internet.
Du kannst mit dem Sieg bei einem kleinen Spiel z.B. hochwertige Flachbildfernseher, Handys oder Spielekonsolen gewinnen. Dabei nimmst Du den Sieg selbst in die Hand, denn score2win hat keine Glucksspiele. Es erwartet Dich beispielsweise ein spannendes Quiz, ein kniffeliges Labyrinth oder ein raffiniertes Ratsel.",,,score2win,https://www.score2win.de
117165,Roomsurfer DE,,,,,Roomsurfer,http://www.roomsurfer.com
116521,Wudeal FR,,,,,Wudeal.fr [closed 21/03/13] FR,http://www.wudeal.fr
116518,Vente en Or FR,,,,,Vente en Or (pausing from 24 11 2014) FR,http://www.vente-en-or.com
116516,Urlaubsgefuhl DE,,Das ultimative Urlaubsgefuhl in einem luxuriosen Ferien- oder Bungalowpark erleben? Bei Hogenboom Ferienparks finden Sie die gunstigsten Ferienparks und Bungalowpark in naturreicher Umgebung.,,,Urlaubsgefuhl DE,http://www.urlaubsgefuehl.de
116805,I4 Muzique NL,"Shopping, Mail, Order, Shops",,,,I4-muzique NL,http://www.i4-muzique.nl
118108,Hellofood PE,,,,,Hellofood Peru ,http://www.hellofood.com.pe
116581,LOVETheatre UK,,,,,LOVETheatre UK,http://www.lovetheatre.com
116580,Love Clothing UK,,,,,Love Clothing UK,http://www.loveclothing.com
116035,Trachten & Dirndl Onlineshop DE/AT/CH,,"Kernige Trachten und wunderschone Dirndl finden sie bei Winkler Tracht & Landhausmode. Mit der Trachten- und Landhausmode aus hochwertigen Materialien, strahlenden Farben sowie attraktiven Schnitte sind Sie immer bestens gekleidet � auf dem nachsten Volksfest ebenso wie zu vielen anderen Anlassen.",,,Trachten & Dirndl Onlineshop DE,http://www.trachten-dirndl-shop.de
116335,Deutsche Unternehmerborse DE,,"Die Deutsche Unternehmerborse ist die reichweitenstarkste, unabhangige und neutrale Plattform fur Unternehmenskaufe und -verkaufe in Deutschland. Hier konnen Sie sowohl Kaufangebote/-gesuche inserieren, fachkundige Berater finden sowie Kapitalgeber oder MBI suchen.",,,dub.de,http://www.dub.de
117411,DIREKTE LEBEN Versicherung DE,,,,,DIREKTE LEBEN Versicherung AG,http://www.direkte-leben.de
117708,Joseph Joseph UK,,,,,Joseph Joseph UK,http://www.josephjoseph.com
117550,Haircenter24 DE,Cosmetics,"Haircenter24 ist der fuhrende Onlineshop fur exklusive Haarpflegeprodukte. Du findest eine gro?e Auswahl an Shampoos, Pflegespulungen, Kuren, Stylingprodukte, Haarfarbemittel, Werkzeuge und vieles mehr von namhaften Marken.",,,Haircenter24,http://www.haircenter24.de
117714,MoneyMart CA,,,,,moneyonlineforyourfuture AU,http://www.moneymart.ca
117718,Now TV UK,,,,,NOW TV UK,https://www.nowtv.com
117554,Hej CZ,DepartmentStores,,,,Hej.sk Affiliate Program,http://www.hej.sk
117719,Oak Furniture Superstore UK,,,,,Oak Furniture Superstore UK,https://www.oakfurnituresuperstore.co.uk
117721,OneClickPets UK,,,,,OneClickPets,http://www.oneclickpets.co.uk
117724,OneClickTools UK,,,,,OneClickTools,http://www.oneclicktools.co.uk
116474,Ferratum BE,,,,,Ferratum BE,https://www.ferratum.be
117548,GradShop US,Malls,,,,Apparel Group,http://www.gradshop.com
117559,HootSuite US,WebTools,,,,Hootsuite: Social Media Dashboard,http://hootsuite.com
117560,IceWraps US,Wellness,,,,Ice Wraps US,http://www.icewraps.net
117029,Sklep gram PL,"Family, Sports, Games",,,,Sklep gram PL migrated 08.11.2018,http://www.sklep.gram.pl
117031,Solvari BE,"Other, ",,,,Solvari BE,https://www.solvari.be
117035,Van den Assem BE,"Clothing & Accessories, Shopping & Mail Order Shops, Family, Sports & Games, Other, ",,,,Van den Assem BE,http://www.assemschoenen.be
117037,Vipdukkan TR,"Household, Appliances, Health, Care, Gifts, Flowers, Clothing, Accessories, House, Garden",,,,Vipdukkan TR,http://www.vipdukkan.com
117047,donaldrussell DE,,,,,Donald Russell,https://www.donaldrussell.de
116341,PreThis DE,,"Im PreThis Shop finden Sie hochwertige Nahrungserganzungen fur das Wohlbefinden und die Vitalitat. Neben den Gesundheitsprodukten fur die Gelenke, die Nerven, die Muskeln und das Wohlbefinden finden Sie auch Produkte fur Ihr Haustier.",,,PreThis,https://www.prethis.com
116342,SarahSantos24 DE,,,,,SarahSantos24,http://www.sarahsantos24.de
116343,SellFix DE,,"Sellfix ist ein Onlineshop fur gebrauchte Sachen. Machen Sie Geld mit Ihren gebrauchten Blu-rays, DVDs, CDs oder Spielen von Playstation, Nintendo oder XBox. Einfach die EAN-Nummer eingeben und nachschauen, wie viel Geld Du bekommst.",,,SellFix DE,http://www.sellfix.de
117515,Diamond Resorts International US,Hotel,,,,Diamond Resorts International,http://www.diamondresorts.com
117520,DL1961 Women US,Womens,,,06.07.2017 Netzwerk-Wechsel weg von CJ,DL1961 Premium Denim US,http://www.dl1961.com
117521,DoNanza US,Business-to-Business,,,,DoNanza ,http://www.donanza.com
117522,DreamShopee US,Jewelry,,,,DreamShopee ,http://www.dreamshopee.com
117524,Dukan Diet US/CA,WeightLoss,,,,Dukan Diet US & CA,http://www.dukandiet.com
117525,Edwin Watts Golf US,Golf,,,,Edwin Watts Golf,http://www.edwinwattsgolf.com
117530,Entertainment US,Discounts,,,,Entertainment,http://www.entertainment.com
116325,outdoor-brands DE,"Outdoor-Brands, Outdoor-Discounter, McKinley, Deuter, Adidas, North, Face","Outdoor Brands fuhrt Outdoor-Bekleidung fur Damen, Herren und Kinder und Outdoor Ausrustung unteranderem folgender Outdoor Marken Deuter, Jack Wolfskin, McKinley, Adidas und andere.",,,outdoor-brands.com DE,http://www.outdoor-brands.com
117664,Accessories Direct UK,,,,,Accessories Direct,http://www.accessoriesdirect.com
116081,Toxic Fox US,"personalized, clothing, hoodies, gifts",,,,Toxic Fox USA US,http://www.toxicfox.com
118110,Hellofood NG,,,,,Hellofood.NG ,http://www.hellofood.com.ng
116797,A.S. Adventure BE,"Other, Shopping, Mail, Order, Shops",,,,A.S.Adventure BE,http://www.asadventure.com
116798,adcloud CPC CH,"Internet services, ",,,,adcloud.ch,http://www.adcloud.ch
116799,allyouneed DE,"Family, Sports, Games, Household, Appliances, Food, Beverages, Health, Care, Shopping, Mail, Order, Shops","Schluss mit Schleppen und Schlangestehen! Bestellen Sie einfach Ihre Lebensmittel online bei allyouneed.com. Das Sortiment umfasst ca. 17.000 Artikeln aus den Bereichen Lebensmittel, Drogerie, Haushaltswaren und Tierbedarf.",,,Allyouneed.com - Shopping by DHL DE,http://de.allyouneed.com
115927,Learn iT! Anytime US,Professional,,,,Learn iT! US,http://www.learnitanytime.com
116004,opus-fashion DE,"Clothing & Accessories, ","Bei Opus finden sie hochwertige klassische Damenmode von bekannten Marken. Lassen sie sich von den tollen Gesamtlooks inspirieren oder stobern sie im Shop. Sowohl fur den Alltag als auch fur besondere Anlasse bietet das edle Label perfekte Outfits, die man sich selbst zusammenstellen kann. Hubsche Accessoires runden den Look dann perfekt ab.",,,OPUS Fashion DE,http://www.casual-fashion.com
116085,Brandlet DE,,"Bei brandlet.de bekommst Du die besten Marken zu Outlet-Preisen. Angeboten werden Bekleidung und Accessoires, Kuchenhelfer und Besteck, Lampen, Leuchten und Wohndekoration.",,,Brandlet DE,http://www.brandlet.de
115912,Fossil IT,"Clothing & Accessories, ",,,,fossil.it,http://www.fossil.it
115909,Bianco SE,"Health & Care, Clothing & Accessories, ",,,,Bianco SE,https://www.bianco.com
116088,HALALI & CO DE,,,,,HALALI & CO,http://www.halalico.com
117020,RepubblicaTablet IT,"Internet services, ",,,,Repubblica+ IT,https://quotidiano.repubblica.it
117022,Rita Numerologin DE,"Other, ",,,,rita-numerologin.com,http://www.rita-numerologin.com
117024,Shoep NL,"Shopping & Mail Order Shops, Other, ",,,,Shoep NL,http://www.shoep.nl
116011,Scandic DK,"Travel & Flight, Cities, Counrties & Regions, ",,,,Scandic DK - closing 2015.07.05,http://www.scandichotels.dk
116015,Sustilo TR,"Clothing, Accessories, Health, Care",,,,sustilo.com.tr,http://www.sustilo.com.tr
116020,Zalando BE,"Clothing, Accessories","Bei zalando.be finden Sie eine gro?e Auswahl an Top-Marken fur Schuhe und Bekleidung. Das Sortiment umfasst Damenschuhe, Herrenschuhe und Kinderschuhe von Markenherstellern wie zum Beispiel Adidas, Tamaris, Geox, Diesel, Nike, Converse und vielen anderen. Neben den Schuhen finden sie aber auch ein gro?es Angebot an Mode fur Damen, Herren und Kinder.",,,Zalando BE,http://www.zalando.be
116022,zooplus SI,"Food, Beverages, Clothing, Accessories, Health, Care, Shopping, Mail, Order, Shops",,,,zoohit SI DE,https://www.zoohit.si
116028,Greenpeace DE,,,,,Greenpeace DE,https://www.greenpeace.de
116384,MuSuMa DE,,MuSuMa.de - die gro?e deutsche Musik-Suchmaschine mit Hit-Counter und Besucher-Bewertungen.,,,MuSuMa.de,http://www.musuma.de
117234,Womancorner FR,"Womancorner, cosmetique, femme, maroquinerie, accessoires",,,,Woman Corner FR,https://www.womancorner.com
117327,G Data Software UK,,,,,G DATA UK - Virus Protection for Home and Business UK,http://www.gdatasoftware.co.uk
117663,123spareparts UK,,,,,123spareparts.co.uk US,https://www.123spareparts.co.uk
117469,VGZ - Bewuzt NL,"Insurance & Finances, ",,,,vgz.nl,http://www.vgz.nl
116210,Slimming World US,"weightloss, diet, health, fitness",,,,Slimming World USA US,http://slimmingworldusa.com
116244,Galbanino IT,"Other, ",,,,galbani.it prodotti light concorso_light index.html,http://www.galbani.it
116784,Eotica BR,"Health, Care, Clothing, Accessories, Family, Sports, Games",,,,Eotica BR,http://www.eotica.com.br
116786,Mango.com NL,"Clothing & Accessories, Other, Shopping & Mail Order Shops, ",,,,zanox.com,http://www.zanox.com
116787,Meiers Weltreisen DE,"Shopping & Mail Order Shops, ",,,,MEIERS WELTREISEN a��Der Spezialist fA?r alles Ferne DE,http://www.meiers-weltreisen.de
116788,Olook BR,"Clothing, Accessories",,,,Olook BR,http://www.olook.com.br
118118,Kabbage Working Capital US,,,,,Kabbage Working Capital,http://www.kabbage.com
116792,Stylistpick ES,Other,,,,Stylistpick ES,http://www.stylistpick.es
116793,Superdry BE,"Other, Clothing & Accessories, Shopping & Mail Order Shops, ",,,,Superdry BE,https://www.superdry.be
116106,Calcado Online BR,"Clothing & Accessories, ",,,,calcadoonline.com.br,http://www.calcadoonline.com.br
116865,Red Leaf Loans CA,,,,,Red Leaf Loans - Canada Payday Lender,https://www.redleafloans.ca
116866,Schrittmacher DE,"sneaker, nike, schuhe, Adidas, Asics, Boxfresh, Clae, Converse, Lacoste, New, Balance, Nike, Onitsuka, Tiger, Pointer, Puma","Schrittmacher-Shop.de ist Ihr Shop fur ausgefallene Sneakers. Hier findest du eine feine Auswahl an Sneakern von Adidas, Nike, New Balance, Puma, Asics, Onitsuka Tiger und anderen.",,,Schrittmacher-Shop DE,https://www.schrittmacher-shop.com
116867,SHATLERs Cocktails DE,"Shatlers, Cocktails, Cocktail, Zubehor, Fertigcocktails, Bars, Restaurants, Partys, Eisboxen, Cocktail-Glaser",,,,SHATLERs Cocktails - Der Fertigcocktail aus der Dose DE,http://www.shatlers.de
116111,e-smoking CH,Other,"Sie sind auf der Suche nach einer E-Zigarette? Dann sind Sie bei E-Smoking.ch genau richtig. Lassen Sie sich vom King in Sachen Dampfen beraten und profitieren Sie von den langjahrigen Erfahrungen mit E-Zigaretten, Liquids und Zubehor.",,,e-smoking.ch,http://www.e-smoking.ch
116110,design4europe EU,"Clothing, Accessories, Gifts, Flowers, Shopping, Mail, Order, Shops, Art, Culture",,,,design4europe EU,http://www.design4europe.pl
116109,Debenhams DE,"House, Garden, Clothing, Accessories, Shopping, Mail, Order, Shops, Family, Sports, Games, Gifts, Flowers","Debenhams ist eine britische Kaufhauskette mit uber 150 Filialen in 26 Landern auf drei Kontinenten. Im Online-Shop erhalten Sie englische Mode, Schuhe und Lifestyle fur Damen, Herren und Kinder.",,,Debenhams DE,http://www.debenhams.de
116103,Boxeurdesrues IT,"Shopping, Mail, Order, Shops, Clothing, Accessories",,,,Boxeurdesrues IT,http://shop.boxeurdesrues.com
116102,Bluebay Hotels DE,"Travel, Flight","Buchen Sie den perfekten Urlaub mit BlueBay Hotels & Resorts. Sie finden viele traumhafte Hotels in Spanien, Mexico, Kuba und in der Dominikanischen Republik. Egal, ob sie einen Familienurlaub planen oder nur zu zweit reisen mochten, bei Bluebay Hotels werden Sie das Richtige finden.",,,Bluebay Hotels ES US,http://www.grupobluebay.com
116101,Biacayip TR,"House, Garden, Clothing, Accessories, Shopping, Mail, Order, Shops, Office, School, Gifts, Flowers",,,,Biacayip_TR,http://biacayip.com
116242,Europcar FR,"Travel, Flight, Cars, Motorbikes, Internet, services",,,,Europcar FR,https://www.europcar.fr
116099,Aeroports Toulouse FR,"Travel & Flight, ",,,,toulouse.aeroport.fr,http://www.toulouse.aeroport.fr
