Name,Url,Category
Compass 2014 IT,http://www.compass.it,Finance & Insurance
Mytheresa.com DE,http://www.mytheresa.com,Retail & Shopping
The Beauty Box BR,http://www.thebeautybox.com.br,Retail & Shopping
Camicado BR,http://www.camicado.com.br,Retail & Shopping
Drogasil BR,http://www.drogasil.com.br,Retail & Shopping
Onofre BR,http://www.onofre.com.br,Retail & Shopping
zanox Tools CH,http://ad4mat.com,Retail & Shopping
Decolar BR,http://www.decolar.com,Travel
Wine BR,http://wine.com.br,Retail & Shopping
Gazin BR,http://www.gazinshop.com.br,Retail & Shopping
HSE24 - migrated,http://www.hse24.de,Retail & Shopping
makerist DE - migrated,http://www.makerist.de,Retail & Shopping
Pandora BR,http://www.pandorajoias.com.br,Retail & Shopping
GANT DE - migrated,https://de.gant.com,Retail & Shopping
Gearbest BR,http://www.gearbest.com,Retail & Shopping
Amazon BR,http://www.amazon.com.br,Retail & Shopping
eterna - migrated,http://www.eterna.de,Retail & Shopping
freenetmobile DE,http://www.freenetmobile.de,"Telco's & Services"
PrestitiSupermarket IT,http://www.prestitisupermarket.it,Finance & Insurance
golfhouse DE,http://www.golfhouse.de,Retail & Shopping
Drogaria Sao Paulo BR,http://www.drogariasaopaulo.com.br,Retail & Shopping
ich-parke-billiger DE - migrated,http://www.ich-parke-billiger.de,Travel
Malwee BR,http://www.malwee.com,Retail & Shopping
Farm Rio BR,http://www.farmrio.com.br,Retail & Shopping
GenertelLife IT,http://www.genertellife.it,Finance & Insurance
Sestini BR,http://www.sestini.com.br,Retail & Shopping
Drogaria Pacheco BR,http://www.drogariaspacheco.com.br,Retail & Shopping
OQVestir BR,http://www.oqvestir.com.br,Retail & Shopping
Pneu Store BR,http://www.pneustore.com.br,Retail & Shopping
MutuiSupermarket,http://www.mutuisupermarket.it,Finance & Insurance
Versandhaus Wenz DE - migrated,http://www.wenz.de,Retail & Shopping
Central Ar BR,http://www.centralar.com.br,Retail & Shopping
Aliexpress EU - MIGRATED 10-10-2018,http://www.aliexpress.com,Retail & Shopping
ElitePartner.ch,http://www.elitepartner.ch,"Telco's & Services"
Instacarro BR,http://www.instacarro.com,Retail & Shopping
Feltrinelli IT,http://www.lafeltrinelli.com,Retail & Shopping
Kiko IT,http://www.kikocosmetics.com,Retail & Shopping
Vans BR,http://www.vans.com.br,Retail & Shopping
Reifen.com - migrated,http://www.reifen.com,Retail & Shopping
Klarmobil,http://affiliate.klarmobil.de,"Telco's & Services"
ElitePartner.at,http://www.elitepartner.at,"Telco's & Services"
Brastemp BR,http://loja.brastemp.com.br,Retail & Shopping
Giuliana Flores BR,http://www.giulianaflores.com.br,Retail & Shopping
Avon BR,http://www.avonstore.com.br,Retail & Shopping
Forever Liss BR,http://www.foreverliss.com.br,Retail & Shopping
Mondial Travel BR,http://www.mondialtravel.com.br,Finance & Insurance
treppen-intercon DE - migrated,http://www.treppen-intercon.de,Retail & Shopping
iKiosk DE - migrated,http://www.ikiosk.de,"Telco's & Services"
Autoparti IT,http://www.autoparti.it,Retail & Shopping
Virtual Joias BR,http://www.virtualjoias.com,Retail & Shopping
C&C BR,http://www.cec.com.br,Retail & Shopping
Madeindesign IT,http://www.madeindesign.it,Retail & Shopping
Norisbank DE,http://www.norisbank.de,Finance & Insurance
Marcyn BR,http://www.marcyn.com.br,Retail & Shopping
RentCars BR,http://www.rentcars.com.br,Travel
Bildelaronline24 SE,http://www.bildelaronline24.se,Retail & Shopping
ONE.com DE,http://www.one.com,"Telco's & Services"
Allianz IT,http://www.allianz.it,Finance & Insurance
Conta Azul BR,https://contaazul.com,Finance & Insurance
Lezalez BR,http://lezalez.com,Retail & Shopping
Animale BR,http://animale.com.br,Retail & Shopping
RayBan BR,http://www.ray-ban.com,Retail & Shopping
HHV - Vinyl Streetwear Sneakers & more,http://www.hhv.de,Retail & Shopping
Nebulus DE,http://www.nebulus.biz,Retail & Shopping
Jequiti BR,https://loja.jequiti.com.br,Retail & Shopping
Clube Marisol BR,http://www.clubemarisol.com.br,Retail & Shopping
eclock BR,http://www.eclock.com.br,Retail & Shopping
Zurich IT,http://www.zurichconnect.it,Finance & Insurance
Edenred 2015 IT,http://www.edenred.it,"Telco's & Services"
Netshoes - Shoptimao BR,http://www.shoptimao.com.br,Retail & Shopping
Küchen Quelle DE,http://www.kuechen-quelle.de,Retail & Shopping
Bitdefender NL - Migrated,http://www.bitdefender.nl,"Telco's & Services"
YouCom BR,http://www.youcom.com.br,Retail & Shopping
Nuuvem BR,http://www.nuuvem.com.br,Retail & Shopping
Puket BR,http://www.puket.com.br,Retail & Shopping
Girafa BR,http://www.girafa.com.br,Retail & Shopping
Timberland BR,http://www.timberland.com.br,Retail & Shopping
Asus BR,http://loja.asus.com.br,Retail & Shopping
Off Premium BR,http://www.offpremium.com.br,Retail & Shopping
Shell - App Shell Box BR,http://www.shell.com.br,"Telco's & Services"
Flip4new,http://www.flip4new.de,Retail & Shopping
Emmi-Nail DE - migrated,http://www.emmi-nail.de,Retail & Shopping
Douglas ES,http://www.douglas.es,Retail & Shopping
Imaginarium BR,http://loja.imaginarium.com.br,Retail & Shopping
Quem Disse Berenice BR,http://www.quemdisseberenice.com.br,Retail & Shopping
Autodoc IT,http://www.auto-doc.it,Retail & Shopping
Levis BR,http://www.levi.com.br,Retail & Shopping
Onofre Agora Eletro BR,http://www.onofreagora.com.br,Retail & Shopping
MAC Cosmeticos BR,http://www.maccosmetics.com.br,Retail & Shopping
Green Man Gaming BR,http://www.greenmangaming.com,Retail & Shopping
eLens BR,http://www.e-lens.com.br,Retail & Shopping
New Balance BR,http://www.newbalance.com.br,Retail & Shopping
UnicreditConto,http://www.unicredit.it,Finance & Insurance
Mondadori IT,http://www.mondadoristore.it,Retail & Shopping
Consul BR,http://loja.consul.com.br,Retail & Shopping
CVC BR,http://www.cvc.com.br,Travel
Eudora BR,http://www.eudora.com.br,Retail & Shopping
reifen DE,http://www.reifen.de,Retail & Shopping
Saldao da informatica BR,http://www.saldaodainformatica.com.br,Retail & Shopping
Fotoregistro BR,http://www.fotoregistro.com.br,Retail & Shopping
Telhanorte BR,http://www.telhanorte.com.br,Retail & Shopping
Estrela 10 BR,http://www.estrela10.com.br,Retail & Shopping
shopDisney,http://www.disneystore.com,Retail & Shopping
Lottoland BR,http://www.lottoland.com.br,"Telco's & Services"
Die Bewerbungsschreiber DE - migrated,https://www.die-bewerbungsschreiber.de,"Telco's & Services"
Under Armour BR,http://www.underarmour.com.br,Retail & Shopping
FYI Store BR,http://www.fyistore.com.br,Retail & Shopping
Cantao BR,http://www.cantao.com.br,Retail & Shopping
Nova Concursos BR,http://novaconcursos.com.br,"Telco's & Services"
Gocase BR,http://www.gocase.com.br,Retail & Shopping
ad4mat AT,http://ad4mat.com,"Telco's & Services"
Anlagegold24,http://www.anlagegold24.de,Retail & Shopping
Eotica BR,http://www.eotica.com.br,Retail & Shopping
Drogaria Araujo BR,http://www.araujo.com.br,Retail & Shopping
recambioscoches ES,http://www.recambioscoches.es,Retail & Shopping
Leiturinha BR,http://leiturinha.com.br,Retail & Shopping
Gorila Shield BR,http://gorilashield.com.br,Retail & Shopping
Iugu BR,http://iugu.com,Finance & Insurance
ReifenDirekt.de,http://www.reifendirekt.de,Retail & Shopping
MyM&Ms DE,http://www.mymms.de,Retail & Shopping
Muenkel.eu DE - migrated,http://www.muenkel.eu,Retail & Shopping
Phooto BR,http://www.phooto.com.br,Retail & Shopping
Ich will Kühe DE - migrated,http://www.ichwillkuehe.de,Travel
tessamino DE - migrated,http://www.tessamino.de,Retail & Shopping
Autodeler NO,http://www.autodeler.co.no,Retail & Shopping
Toolineo DE,http://www.toolineo.de,Retail & Shopping
WilliamHill Sport IT,http://www.williamhill.it,"Telco's & Services"
Ri Happy BR,http://www.rihappy.com.br,Retail & Shopping
EF English Live BR,http://www.englishlive.ef.com,"Telco's & Services"
Spiele Max DE - migrated,https://www.spielemax.de,Retail & Shopping
Netshoes - Sao Paulo Mania BR,http://www.saopaulomania.com.br,Retail & Shopping
cawoe DE - migrated,http://www.cawoe-shop.com,Retail & Shopping
Oakley BR,http://www.oakley.com.br,Retail & Shopping
Netshoes - Shop Vasco BR,http://www.shopvasco.com.br,Retail & Shopping
Quero Passagem BR,http://queropassagem.com.br,Travel
DomainFactory - migrated,http://www.df.eu,"Telco's & Services"
Casa e Video BR,http://www.casaevideo.com.br,Retail & Shopping
Verisure BR,http://www.verisure.com.br,Finance & Insurance
