id,name,keywords,description,public_notice,internal_notice,websitename,websiteadresse
117381,mrlens AT,,"Bei Mr Lens finden sie hochwertige Kontaktlinsen, Pflegemittel sowie auch Korrekturbrillen und Sonnenbrillen. Angeboten werden unteranderem Tageslinsen, Wochenlinsen, Monatslinsen und Farblinsen von bekannten Herstellern wie Acuvue, Focus, Ray Ban und andere.",,,MrLens AT,http://www.mrlens.at
117390,Smart Live Casino UK,,,,,Smart Live Casino [CLOSED 16/12/13] UK,http://livecasino.smartlivegaming.com
117392,Stylisim ES,,,,,Stylisim ES,http://www.stylisim.es
116117,Groupon FI,Other,,,,Groupon FI,http://www.groupon.fi
117401,Vacenza ES,,,,,Vacenza ES (Closed 24/11/2013) ES,http://www.vacenza.com
116246,Groupe Mutuel Budget CH,Other,,,,budget2013.ch,http://www.budget2013.ch
116114,Ellos BE,"Other, Clothing, Accessories, Shopping, Mail, Order, Shops",,,,Ellos BE,http://www.ellos.be
116247,Heppo NL,"Clothing & Accessories, ",,,,heppo.nl,http://www.heppo.nl
116113,Editora Globo BR,"Other, ",,,,assinatura-revista-epoca.com,http://www.assinatura-revista-epoca.com
117407,astroskopia DE,,,,,astroskopia.de - Ihr personliches Horoskop,http://www.astroskopia.de
117829,Physioroom DE,"Sport, Fussball, Verletzung, Rehabilitierung, Outdoor, Physio, Therapie, Reha, Wintersport, Rucken, Orthopadie, Erste, Hilfe, Physiotherapie, Bandagen, Gymnastik","PhysioRoom ist ein fuhrendes Online Unternehmen im Bereich Sportverletzungen. Das gro?e Produktsortiment umfasst Orthesen & Bandagen, Artikel zur Warme & Kalte Therapie, Erste Hilfe Produkte, Sporttapes, Fu?pflegeprodukte, Rehabilitierung & Fitness, Massage & Hautpflege, Rucken & Nackenpflege sowie Sportbekleidung und Zubehor.",,,Physioroom DE,http://www.physioroom.de
117831,SexShopUniverse ES,"SexShopUniverse, productos, eroticos, lenceria, bondage, CPA",,,,SexShopUniverse ES,http://www.sexshopuniverse.com
117827,parfumdeal DE,"Parfum, Deals, Duft, Kosmetik","Bei parfumdeal.de finden Sie Ihre Lieblingsdufte und Kosmetik von bekannten Marken wie Shiseido, Armani, Juvena, Dolce & Gabbana, Escada und viele andere zu gunstigen Preisen.",,,parfumdeal DE,http://www.parfumdeal.de
117832,Sing and Dance ES,"sing, and, dance, canta, y, baile, ninos, educacion, juegos, infantiles, cpa",,,,Sing and Dance ES,http://singanddance.es
117813,joliebox UK,"joliebox, beauty box, beauty product,online retailer, subscription, makeup, cream, christmas",,,,Birchbox UK,http://www.joliebox.co.uk
116289,Claim Simply UK,,,,,Claim Simply - Mis-Sold PPI Claims Offer,http://www.claims4consumermoneymatters.co.uk
115842,Jeckersonstore IT,"Clothing & Accessories, Shopping & Mail Order Shops, ",,,,jeckersonstore.com it,http://www.jeckersonstore.com
116090,mein-edelstahlschmuck DE,,,,,mein-edelstahlschmuck,http://www.mein-edelstahlschmuck.de
117161,myPhone-Schutz DE,,,,,myPhone-Schutz,http://www.myphoneschutz.de
116431,so-jeans ES,"Clothing & Accessories, Other, ",,,,sojeans.es,http://www.sojeans.es
116433,Stijls NL,"Shopping & Mail Order Shops, Other, ",,,,stijls.nl,http://www.stijls.nl
116369,fetischoutfit DE,,,,,fetischoutfit.de,http://www.fetischoutfit.de
117157,McPKV-Wechsel DE,,Mit McPKV sich kostenlos und unverbindlich uber Private Krankenversicherungen informieren und vergleichen. Fordern Sie jetzt unverbindlich einen individuellen Vergleich an.,,,McPKV-Wechsel DE,http://mcpkv.com
