"advertiserId","programName","conversionRate","confirmationRate","approvalTime","epc","confirmationTime","joinDate","paymentStatus","adRank","feedEnabled","parentSectors","subSectors","clickMin","clickMax","leadMin","leadMax","saleMin","saleMax","salePercentageMin","salePercentageMax"
"15978","Lampenwelt CH - migrated","0","0 / 0","0","0.00","0","2014-12-09 00:00:00",,"0","yes","Retail & Shopping","Home & Garden","","","","","","","5","8"
"16011","ROSE Bikes DE - migrated","0","100 / 0","0","0.00","185","2015-04-20 00:00:00",,"0","yes","Retail & Shopping","Sports Equipment|Sportswear","","","","","","","5","7"
"16028","Tecedo DE - migrated","0","100 / 0","0","0.00","0","2015-03-18 00:00:00",,"0","yes","Retail & Shopping","Electronic Accessories|Electronic Superstore","","","","","","","2","2"
"15756","Vision Direct ES: Migrated 04/09/2017","0","0 / 0","0","0.00","0","2014-09-23 00:00:00",,"0","yes","Retail & Shopping","Health & Beauty","","","","","","","10","10"
"15986","lampegiganten NO: Migrated 24/01/2018","0","0 / 0","0","0.00","0","2015-01-22 00:00:00",,"0","yes","Retail & Shopping","Home & Garden","","","","","","","5","8"
"15987","lampegiganten DK: Migrated 24/01/2018","0","0 / 0","0","0.00","0","2015-02-09 00:00:00",,"0","yes","Retail & Shopping","Home & Garden","","","","","","","5","8"
"15988","Lampen24 NL: Migrated 24/01/2018","0","0 / 0","0","0.00","0","2014-12-17 00:00:00",,"0","no","Retail & Shopping","Home & Garden","","","","","","","5","8"
"15989","Lampy PL: Migrated 24/01/2018","0","0 / 0","0","0.00","0","2014-12-17 00:00:00",,"0","yes","Retail & Shopping","Home & Garden","","","","","","","5","8"
"16037","Whitelabel 4Boosting NL","0","66.7 / 0","0","0.00","0","2014-12-02 00:00:00",,"0","no","Telco's & Services","Mobile Broadband","","","","","32","72","0","0"
"16009","Lampenwelt AT - migrated","0","0 / 0","0","0.00","0","2014-12-09 00:00:00",,"0","yes","Retail & Shopping","Electronic Accessories|Furniture & Soft Furnishings|Home & Garden","","","","","","","5","8"
"15911","Stradivarius FR: Migrated","0","0 / 0","0","0.00","0","2015-01-15 00:00:00",,"0","yes","Retail & Shopping","Clothing|Clothing Accessories","","","","","","","6.9","6.9"
"16096","Vorteilshop DE - migrated","0","41.4 / 0","0","0.00","0","2014-12-12 00:00:00",,"0","yes","Retail & Shopping","Lead Gen","","","","","","","9","9"
"16022","Home24 IT","0","0 / 0","0","0.00","0","2014-12-15 00:00:00",,"0","yes","Retail & Shopping","Home & Garden","","","","","","","4","10"
"16079","HelloFresh BE: Migrated 01/12/2017","0","0 / 0","0","0.00","0","2014-12-10 00:00:00",,"0","no","Retail & Shopping","FMCG","","","","","","","10","40"
"16099","Lowi ES","0","100 / 0","0","0.00","0","2015-03-24 00:00:00",,"0","yes","Telco's & Services","Mobile Broadband|Mobile Contract","","","","","10","30","0","0"
"16105","Schutzklick AT - migrated","0","0 / 0","0","0.00","0","2015-01-28 00:00:00",,"0","no","Finance & Insurance","Insurance","","","","","","7","0","10"
"19713","Cobasi BR","27.8","0 / 0","21","1.33","13","2019-02-13 00:00:00",,"0","no","Retail & Shopping","Pets & Pet Care","","","","","","","8","8"
"15912","Stradivarius DE: Migrated 23/01/2018","0","0 / 0","0","0.00","0","2015-01-15 00:00:00",,"0","yes","Retail & Shopping","Clothing|Clothing Accessories","","","","","","","5","12"
"16125","WijKopenAutos NL - migrated on 04/04/2018","0","0 / 0","0","0.00","0","2015-01-20 00:00:00",,"0","no","Retail & Shopping","Lead Gen","","","1","1","","","0","0"
"16218","Under Armour AT","0","0 / 0","0","0.00","0","2015-07-09 00:00:00",,"0","yes","Retail & Shopping","Sports Equipment|Sportswear","","","","","","","8","8"
"16251","ONE.com IT","0","51 / 0","60","0.24","83","2015-11-10 00:00:00",,"0","no","Telco's & Services","Web Hosting","","","","","15","45","0","0"
"16127","compramostucoche ES","0","0 / 0","0","0.00","0","2015-01-20 00:00:00",,"0","no","Retail & Shopping","Automotive|Lead Gen","","","0.6","1","","","0","0"
