Name,URL,Category,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
Dashlane (FR),https://www.dashlane.com,"
    Shopping & Retail",Computer_and_Electronics,8316413,United States - 35.51,France - 11.68,United Kingdom - 6.44,Germany - 5.63,Brazil - 3.04,15516,7008,728
Du pareil au même (FR),http://www.dpam.com,"
    Fashion",Shopping/Clothing,663947,France - 89.34,Belgium - 2.43,Italy - 1.35,Switzerland - 1.15,United States - 0.94,120683,5488,1723
EasyLounge (FR),https://www.easylounge.com,"
    Home & Garden, Shopping & Retail",Shopping/Consumer_Electronics,377974,France - 88.37,Belgium - 5.32,Switzerland - 2.88,Reunion - 0.71,United States - 0.32,311171,14152,2090
deindesign.fr,https://www.deindesign.fr,"
    Telecoms & Utilities, Shopping & Retail",Unknown,56458,France - 95.12,Switzerland - 2.40,United Kingdom - 1.64,Algeria - 0.62, - 0.23,1085666,47791,
EFC (FR),http://www.efcformation.com,"
    Education & Careers",Career_and_Education/Education,249001,France - 82.68,Morocco - 3.40,Congo Republic - 2.27,Congo - 2.15, - 1.77,425702,18352,12836
Desigual (FR),https://www.desigual.com,"
    Fashion",Shopping/Clothing,5286653,Spain - 22.43,France - 20.69,Italy - 10.28,Germany - 9.51,Poland - 4.98,16164,1133,224
Easyjet Holidays (FR),http://www.easyjet.com,"
    Travel",Travel/Airlines_and_Airports,40152696,United Kingdom - 32.99,France - 16.31,Italy - 10.52,Germany - 8.69,Switzerland - 6.77,2119,204,10
Euro Assurance (FR),https://www.euro-assurance.com,"
    Insurance",Finance/Financial_Management,520734,France - 93.55,Belgium - 1.72,Morocco - 1.29,United States - 0.55,United Kingdom - 0.51,189685,7877,1380
Evaneos (FR),https://www.evaneos.fr,"
    Travel",Travel,1700940,France - 81.43,Belgium - 3.85,Switzerland - 2.66,Canada - 1.50,Reunion - 0.97,64851,3227,1344
Eglobalcentral (FR),https://www.eglobalcentral.fr,"
    Computers & Electronics, Shopping & Retail",Shopping/Consumer_Electronics,1835348,France - 92.76,Belgium - 1.38,Switzerland - 1.02,Tunisia - 0.89,Morocco - 0.61,53376,2003,434
Ekwateur (FR),https://souscription.ekwateur.fr,"
    Home & Garden",Unknown,35916,France - 97.94,United Kingdom - 2.06,,,,,,
GYMLIB (FR),http://www.gymlib.com,"
    Health & Beauty, Sports & Recreation",Internet_and_Telecom,336478,France - 96.41,Belgium - 0.91,United Kingdom - 0.73,United States - 0.45,Spain - 0.34,212709,8691,12282
HappyCar (FR),https://www.happycar.fr,"
    Travel",Autos_and_Vehicles/Car_Rentals,350212,France - 78.75,Belgium - 5.66,Switzerland - 3.93,Brazil - 2.12, - 1.03,192827,9722,117
FloraQueen (FR),https://www.floraqueen.fr,"
    Shopping & Retail",Shopping/Flowers,145949,France - 75.44,Belgium - 6.10,Spain - 4.01,Tunisia - 3.11,Switzerland - 2.04,608157,42290,146
Groupon (FR),https://www.groupon.fr,"
    Shopping & Retail",Shopping/Coupons,15186682,France - 95.90,Belgium - 0.69,United Kingdom - 0.36,United States - 0.27,Switzerland - 0.27,5727,200,15
