Name,URL,Category,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
Catrun-Shop DE - migrated,http://www.catrun-shop.de,Retail & Shopping,Shopping,27814,Germany - 92.34,Poland - 7.66,,,,1956803,142620,135154
La Redoute FR,http://www.laredoute.fr,Retail & Shopping,Shopping/Clothing,29025820,France - 93.84,Belgium - 1.27,Switzerland - 0.57,Reunion - 0.38,Martinique - 0.32,2699,89,26
Gustini - Köstlich italienisch DE - migrated,http://www.gustini.de,Retail & Shopping,Food_and_Drink/Food_and_Grocery_Retailers,250766,Germany - 93.61,Switzerland - 2.54,Italy - 1.64,Austria - 1.38,France - 0.42,310718,16533,388
buerostuhl24 Bürostühle und Büromöbel - migrated,http://www.buerostuhl24.com,Retail & Shopping,Shopping,304933,Germany - 94.43,Austria - 1.13,United Kingdom - 0.88,Denmark - 0.72,Netherlands - 0.48,263182,13495,18498
myprinting,http://www.myprinting.de,Retail & Shopping,Arts_and_Entertainment/Photography,1459,Germany - 100.00,,,,,15773088,1561345,50732
M2P DE - migrated,http://www.tipp24games.de,"Telco's & Services",,,,,,,,,,
Blacksocks CH - migrated,http://www.blacksocks.com,Retail & Shopping,Shopping/Clothing,116137,Switzerland - 30.13,Germany - 23.81,United States - 15.86,France - 8.84,United Kingdom - 3.73,558389,14475,6445
Defshop DE - migrated,http://www.def-shop.com,Retail & Shopping,Shopping/Clothing,3353840,Germany - 85.72,Austria - 5.27,Switzerland - 1.25,Netherlands - 0.84,Slovakia - 0.79,25808,1097,382
tigha DE - migrated,http://www.tigha.com,Retail & Shopping,Shopping/Clothing,318193,Germany - 67.99,Netherlands - 10.27,Austria - 3.96,Romania - 3.30,Lithuania - 1.86,232979,14586,3084
motopneucity.com PT: Migrated 22/12/2017,http://www.motopneucity.com,Retail & Shopping,Autos_and_Vehicles,6555,Portugal - 82.65,Switzerland - 17.35,,,,4870418,47502,101369
Tailorstore DACH: Migrated 08/02/2018,http://www.tailorstore.de,Retail & Shopping,Shopping/Clothing,58697,Germany - 95.31,United States - 1.23,Netherlands - 1.20,Switzerland - 0.78,Sweden - 0.52,559336,30691,6456
Hollandsnieuwe NL Migrated,http://hollandsnieuwe.nl,"Telco's & Services",Internet_and_Telecom/Telecommunications,1156553,Netherlands - 97.15,Germany - 0.64,Belgium - 0.56,United Kingdom - 0.46,Spain - 0.36,90844,1263,834
mcdaekonline DK,http://www.mcdaekonline.dk,Retail & Shopping,Autos_and_Vehicles,1352,Denmark - 100.00,,,,,14797538,178074,229462
