Name,URL,Category,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
Bagbnb.com,https://bagbnb.com,Travel and holidays,Unknown,518636,United States - 22.95,United Kingdom - 12.29,Italy - 9.97,Spain - 8.83,Germany - 4.97,169573,122495,
Bearstrength.co.uk,https://www.bearstrength.co.uk,Fashion and jewelry,Shopping,4046,United Kingdom - 63.19,India - 24.43,Singapore - 12.37,,,8936175,1072751,497546
Bebedeparis.co.uk,https://www.bebedeparis.co.uk,Baby & Kids,Unknown,487,United Kingdom - 100.00,,,,,20106316,1591246,
Bax-shop UK,http://www.bax-shop.co.uk,Hobby and leisure time,Shopping/Music,791568,United Kingdom - 80.51,United States - 2.28,Netherlands - 1.50,France - 0.98,Italy - 0.90,134081,7651,72
BeLiveHotels.com,https://www.belivehotels.com,Travel and holidays,Travel/Accommodation_and_Hotels,432956,Spain - 17.94,United States - 12.41,Dominican Republica - 12.08,Canada - 10.16,France - 5.49,249345,20827,1150
Bhmallorca.com,https://www.bhmallorca.com,Travel and holidays,Arts_and_Entertainment,35002,Spain - 29.78,United Kingdom - 29.50,Norway - 11.64,France - 6.53,Italy - 5.69,1762100,188646,117185
Berrylook.com ,https://www.berrylook.com,Fashion and jewelry,Unknown,10383358,United States - 55.57,Canada - 8.96,Indonesia - 7.36,United Kingdom - 5.94,Australia - 1.53,10216,3239,
BirdFood.co.uk,http://www.birdfood.co.uk,Home and garden,Pets_and_Animals/Birds,176600,United Kingdom - 69.13,United States - 22.65,Netherlands - 1.88,Denmark - 1.16,Poland - 1.15,352507,22448,35
Bijouxindiscrets.com/uk,https://shop.bijouxindiscrets.com,Adult,Shopping/Jewelry,85504,France - 20.76,United States - 18.48,Spain - 16.35,Italy - 9.56,Canada - 7.23,955603,113881,1805
Birdfood.ie,http://www.birdfood.ie,Home and garden,Recreation_and_Hobbies/Outdoors,19289,Ireland - 87.91,Germany - 10.33,Russian Federation - 1.75,,,4435411,56790,8960
Birdforumshop.com,http://www.birdforumshop.com,Animals,,,,,,,,,,
Blindsdirectonline.co.uk,https://www.blindsdirectonline.co.uk,Home and garden,Unknown,24144,United Kingdom - 94.70,United States - 3.26,Egypt - 1.53,Russian Federation - 0.52,,2498214,216470,
Bluebayresorts.com,https://www.bluebayresorts.com,Travel and holidays,Travel/Accommodation_and_Hotels,131431,Spain - 15.96,United States - 15.74,Canada - 12.77,Turkey - 7.92,Mexico - 7.15,597983,54893,2997
Bivolino.com,http://www.bivolino.com,Fashion and jewelry,Shopping/Clothing,36987,Germany - 24.96,France - 20.40,Netherlands - 14.52,Belgium - 9.60,United Kingdom - 7.98,1434853,269418,14218
BodyandFit.co.uk,https://www.bodyandfit.co.uk,Health and beauty,Unknown,74830,United Kingdom - 74.27,France - 6.26,Switzerland - 4.27,Qatar - 2.74,Denmark - 2.71,1040566,79861,
Bookingmonkey.com,http://www.bookingmonkey.com,Travel and holidays,Autos_and_Vehicles/Car_Rentals,12015,Netherlands - 77.15,Spain - 17.27,Russian Federation - 5.58,,,5355062,729725,2356
BridgetsBoutique.co.uk,https://bridgetsboutique.co.uk,Fashion and jewelry,Unknown,6147,United Kingdom - 64.35,Saudi Arabia - 35.65,,,,6733936,805331,
Bookingabus.com UK,https://www.bookingabus.com,Travel and holidays,Business_and_Industry/Transportation_and_Logistics,29365,Denmark - 42.58,Germany - 33.52,United Kingdom - 12.61,Viet Nam - 4.09,Spain - 3.85,1508863,22619,7318
Bungalow.net,http://www.bungalow.net,Travel and holidays,Travel/Accommodation_and_Hotels,170348,Germany - 33.73,Netherlands - 30.50,France - 8.02,Italy - 6.40,Belgium - 5.85,458886,67411,2222
Buyincoins.com,http://www.buyincoins.com,Department stores,Shopping/General_Merchandise,500913,Russian Federation - 18.67,Spain - 10.49,Brazil - 9.95,Ukraine - 6.47,Germany - 4.49,157728,51965,344
Castleleslie.com,https://www.castleleslie.com,Travel and holidays,Travel/Accommodation_and_Hotels,36866,United States - 41.74,Ireland - 36.51,United Kingdom - 18.00,Romania - 1.89,Canada - 1.86,2090781,1918996,14553
Campingselection.co.uk,http://www.campingselection.co.uk,Travel and holidays,,,,,,,,,,
Cateredskichalets.com,http://www.cateredskichalets.com,Travel and holidays,,,,,,,,,,
Centro Hotels,https://www.centro-hotels.de,Travel and holidays,Travel/Accommodation_and_Hotels,119607,Germany - 80.51,Austria - 2.86,Italy - 2.67,Switzerland - 2.66,Czech Republic - 1.72,696748,51756,3532
Chloeshair.co.uk,https://www.chloeshair.co.uk,Health and beauty,,,,,,,,,,
ChessSets.co.uk,http://www.chesssets.co.uk,Toys,Games/Board_and_Card_Games,9890,United Kingdom - 79.29,Romania - 20.71,,,,5211475,555610,1754
Clickmeeting.com,https://www.clickmeeting.com,Other,Computer_and_Electronics/Software,4895296,Russian Federation - 36.56,Poland - 12.57,United States - 7.26,Ukraine - 5.00,Brazil - 4.14,29163,4047,768
ClubBbyBHMallorca.com,https://www.clubbbybhmallorca.com,Travel and holidays,Unknown,12047,United Kingdom - 49.44,Spain - 22.32,Sweden - 9.57,Italy - 8.45, - 7.38,4760263,906780,
Cofaro.com,https://cofaro.com,Home and garden,Internet_and_Telecom,109861,Netherlands - 30.05,United Kingdom - 25.53,France - 19.21,Germany - 11.46,Belgium - 6.41,715726,29952,33701
Corinthia.com,http://www.corinthia.com,Travel and holidays,Travel/Accommodation_and_Hotels,535299,United Kingdom - 22.67,United States - 9.97, - 9.30,Portugal - 6.18,Hungary - 5.85,196253,41624,879
Corushotels.com,http://www.corushotels.com,Travel and holidays,Travel/Accommodation_and_Hotels,53851,United Kingdom - 70.97,Switzerland - 6.93,Hong Kong - 6.50,Finland - 4.42,Italy - 3.30,1406100,151627,8219
Coverontrip,https://travelinsurancecot.co.uk,Financial products,Unknown,1690,United Kingdom - 100.00,,,,,13163125,1197653,
Colorland.com,https://www.colorland.com,Art and living,Internet_and_Telecom/Search_Engine,507498,France - 20.68,Italy - 17.69,United Kingdom - 16.42,Germany - 12.45,Netherlands - 10.69,137533,22777,903
Crerarhotels.com,https://www.crerarhotels.com,Travel and holidays,Travel/Accommodation_and_Hotels,64252,United Kingdom - 66.50,United States - 13.27,Slovakia - 9.27,France - 3.13,China - 3.05,1175748,91962,6425
Cure and Simple,https://www.cureandsimple.com,Food and beverages,Internet_and_Telecom/Email,16823,United Kingdom - 100.00,,,,,2783918,250376,3312
