id,name,keywords,description,public_notice,internal_notice,websitename,websiteadresse,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
117379,MEXX RU,,,,,MEXX RU,http://mexx-shop.ru,Shopping/Clothing,150,Russian Federation - 100.00,,,,,35797816,3382549,144856
117380,MissSixty IT,,,,,MissSixty.IT[Closing_30.08.2016] IT,http://www.misssixty.com,Shopping/Clothing,123706,Italy - 18.09,United States - 10.64,Poland - 10.02,Germany - 8.82,United Kingdom - 8.71,431209,48235,5195
117381,mrlens AT,,"Bei Mr Lens finden sie hochwertige Kontaktlinsen, Pflegemittel sowie auch Korrekturbrillen und Sonnenbrillen. Angeboten werden unteranderem Tageslinsen, Wochenlinsen, Monatslinsen und Farblinsen von bekannten Herstellern wie Acuvue, Focus, Ray Ban und andere.",,,MrLens AT,http://www.mrlens.at
117382,mrlens FR,,,,,mrlens.fr,http://www.mrlens.fr,Health/Products_and_Shopping,18,450 - 100.00,,,,,37337089,65793,48467
117385,Platehunter UK,,,,,Platehunter [closed 04/08/13] UK,http://www.platehunter.com,Autos_and_Vehicles,413233,United Kingdom - 96.52,Netherlands - 1.12,United States - 1.03,Australia - 0.55,Ireland - 0.32,264697,16094,4848
117389,ShowpingDEAL IT,,,,,ShowpingDEAL IT [closed] IT,http://track.mdsmatch.com,Unknown,512047,France - 54.73,Germany - 30.98,United States - 4.01,Netherlands - 2.66,Belgium - 2.25,,,
117390,Smart Live Casino UK,,,,,Smart Live Casino [CLOSED 16/12/13] UK,http://livecasino.smartlivegaming.com
117391,Sortesokker DK,,,,,Sortesokker DK,http://www.sortesokker.dk,Shopping,3395,Denmark - 100.00,,,,,16518181,218366,805038
117392,Stylisim ES,,,,,Stylisim ES,http://www.stylisim.es
117384,Philips AT,,"Philips bietet Ihnen ein vielfaltiges Angebot an Produkten fur Gesundheit und Wohlbefinden. Bei Philips finden Sie Produkte fur die Korperpflege, fur Mutter und Kind, Haushaltsgerate, Beleuchtung, PC-Produkte und Telefon, Ton und Bild.",,,Philips AT,https://www.philips.at,Shopping/Consumer_Electronics,293400,Austria - 71.99,Germany - 16.29,Slovakia - 1.90,Switzerland - 1.69,France - 1.12,292331,2157,1959
117387,Qobuz FR,,,,,Qobuz FR,http://www.qobuz.com,Arts_and_Entertainment/Music_and_Audio,13776169,France - 18.70,United States - 10.40,Brazil - 6.12,Germany - 5.78,Spain - 4.16,12127,2202,169
117399,Unium RU,,,,,Unium RU,http://unium.ru,Career_and_Education/Education,293350,Russian Federation - 89.61,Viet Nam - 2.51,Ukraine - 1.24,United States - 1.05,Sweden - 0.91,367534,22871,11208
117400,urech CH,,"Urech ist der gro?te Uhren- und Schmuck-Versender der Schweiz. Im Shop finden sie Gold- und Silberschmuck, Modeschmuck, Damen-, Herren- und auch Kinderuhren unter der Marke Urech und anderen Marken.",,,urech.com [PAUSED] CH,http://www.urech.com,Shopping/Jewelry,61226,Switzerland - 96.16,United States - 2.14,Canada - 1.28,450 - 0.42,,955331,10724,1803
117405,Zooplus CH,,"Onlineshop rund ums Tier. Uber 8.000 Markenprodukte an Haustierbedarf, Tierfutter und Tierzubehor wie Hundefutter, Katzenfutter, Vogelfutter, Nagerfutter, Hundebett und viele andere Produkte, die ihre Lieblinge brauchen.",,,zooplus.ch - Mein Haustiershop CH,https://www.zooplus.ch,Pets_and_Animals/Animal_Products_and_Service,501737,Switzerland - 96.69,Liechtenstein - 1.53,Germany - 0.48,France - 0.44,Spain - 0.42,142577,907,81
117396,Topbrands RU,,,,,TOPBRANDS RU,http://topbrands.ru,Shopping/Clothing,21879,Russian Federation - 82.29,Ukraine - 5.60,France - 4.48,Kazakhstan - 3.76,Belarus - 2.06,2226372,159795,20597
117398,Unibet IT,,,,,Unibet IT,http://www.unibet.it,Gambling/Casinos,1225704,Italy - 98.56,Belgium - 0.18,Romania - 0.12,Finland - 0.11,Sweden - 0.11,72291,1746,62
117395,Tom Tailor RU,,,,,Tom Tailor RU,http://tom-tailor-online.ru,Shopping/Clothing,44017,Russian Federation - 94.78,Cyprus - 3.38,Ukraine - 1.28,Moldova - 0.56,,1962041,128740,18559
117388,Shopping4net DE,,,,,Shopping4net DE,http://www.shopping4net.de,Health/Products_and_Shopping,3026,Germany - 100.00,,,,,8769623,643229,16424
116117,Groupon FI,Other,,,,Groupon FI,http://www.groupon.fi
117401,Vacenza ES,,,,,Vacenza ES (Closed 24/11/2013) ES,http://www.vacenza.com
116246,Groupe Mutuel Budget CH,Other,,,,budget2013.ch,http://www.budget2013.ch
117847,HappyFoto AT,"Photo, Fotobuch, Fotoversand, Fotoentwicklung, Dienstleistung, Digitalbilder, Postkarten, Fotobucher, und, Versand, Poster, Gru?karten, Tassen, Kissen, Kalender, Cewe, Familien, mit, Kindern, Kinderseiten, Gro?eltern, Ausflugsportale, Geschenkportale, Geschenkideen, Hochzeit, Kindergeburtstag, Fotografie, Geschenke, Gutscheinportale, -, Taufe, Kommunion, Interesse, an, Wandern, Ausfluge, in, die, Natur, etc","Machen Sie aus Ihren Bildern schone Geschenke. HappyFoto bietet Fotobucher, Fotokalender, Poster, Gru?karten, Abzuge und Fotogeschenke in den schonsten Farben und in bester Verarbeitung.",,,happyfoto.at - Osterreichs gro?ter Fotoversand AT,http://www.happyfoto.at,Arts_and_Entertainment/Photography,173521,Austria - 96.58,Germany - 0.87,Switzerland - 0.61,France - 0.45,Belgium - 0.35,408349,2608,1237
116114,Ellos BE,"Other, Clothing, Accessories, Shopping, Mail, Order, Shops",,,,Ellos BE,http://www.ellos.be
116247,Heppo NL,"Clothing & Accessories, ",,,,heppo.nl,http://www.heppo.nl
117666,Acess UK,,,,,Acess UK,https://www.acess.co.uk,Shopping/Clothing,31367,United Kingdom - 62.99,France - 9.47,Canada - 5.05,Hungary - 3.88,United States - 3.26,2170954,252199,20157
116113,Editora Globo BR,"Other, ",,,,assinatura-revista-epoca.com,http://www.assinatura-revista-epoca.com
117407,astroskopia DE,,,,,astroskopia.de - Ihr personliches Horoskop,http://www.astroskopia.de
117843,24brands DE,"24, brands, brand, 24brand, 24brands, online, fashion, dealer, mode, frauen, madchen, manner, herren, taschen, accessoires, handtaschen, schuhe, mA, dchen, nner","24brands.de ist ein Onlineshop fur Young Fashion und Sexy Outfits. Junge und trendige Mode fur Frauen und Manner: Sexy Kleider, Coole Tops, lassige Jeans. Hier im Shop finden Sie ausgewahlte Trends aus dem Mode-Metropolen Mailand, Paris, London, New York und Berlin.",,,24brands.de - online fashion dealer DE,http://www.24brands.de,,,,,,,,,,
117845,Braufabrik DE,"Bier, Geschenk, Weihnachtsgeschenk, eigenes, selbst, gestalten, Bieretiketten, Etiketten, fur, Manner, Onlineshop, Geschenkidee, individuelle, Geschenke, Geburtstagsgeschenke, Hochzeitsgeschenke, Mass, Customization","Bei Braufabrik.de bist Du der Braumeister und kannst Dein eigenes Bier und das Etikett selbst gestalten und zwar mit allem was dazu gehort. Von der Wahl des Biergeschmacks, uber das individuelle Etikettendesign bis zur Personalisierung der Etiketten. Gestalte jetzt ganz individuell eigenes Bier, es ist das perfekte Biergeschenk bzw. das perfekte Geburtstagsgeschenk fur Manner.",,,Braufabrik - Dein eigenes Bier DE,http://www.braufabrik.de,Food_and_Drink,6481,Germany - 81.89,Switzerland - 18.11,,,,3749249,258733,51749
117844,43einhalb DE,"Sneaker, Store, Retail, Streetwear","Bei 43einhalb.de findest Du ein ausgewahltes Sortiment an Sneakern zu fairen Preisen. Weiterhin werden auch Accessoires wie Uhren, Mutzen, Kappen und Taschen von namhaften Marken wie Adidas, Nike, Puma, New Balance und vielen mehr angeboten.",,,43einhalb DE,http://www.43einhalb.com,Shopping/Clothing,1497752,Germany - 33.94,United States - 11.72,France - 8.30,United Kingdom - 4.85,Netherlands - 4.51,64401,6116,927
117838,Wellbox FR,"wellbox, minceur, beaute",,,,Wellbox FR,http://www.wellbox.fr,Arts_and_Entertainment,28013,France - 95.26,Switzerland - 2.71,Algeria - 1.04,450 - 0.99,,1889152,93720,125374
117842,stulpenkult DE,,"Bei Stulpenkult bekommen Sie Naturkleidung wie Stulpen, Mutzen, Stirnbander, Rocke, Schals und Cacheurs aus Schurwolle und Walkwolle ohne Kunstfaserkern Made in Germany.",,,stulpenkult.de,http://www.stulpenkult.de,Business_and_Industry,1422,Germany - 100.00,,,,,14038194,1309165,2249486
117848,HappyFoto DE,"Fotobuch, Fotoversand, Fotoentwicklung, Dienstleistung, Digitalbilder, Postkarten, Fotobucher, und, Versand, Poster, Gru?karten, Tassen, Kissen, Kalender, Familien, mit, Kindern, Kinderseiten, Gro?eltern, Ausflugsportale","Machen Sie aus Ihren Bildern schone Geschenke. HappyFoto bietet Fotobucher, Fotokalender, Poster, Gru?karten, Abzuge und Fotogeschenke in den schonsten Farben und in bester Verarbeitung.",,,HappyFoto DE - der online Fotobuchversand DE,http://www.happyfoto.de,Shopping,5625,Germany - 85.92,Norway - 14.08,,,,7760167,557656,443286
117846,Command & Conquer - Strategie-MMO-Spiel DE,,"Command & Conquer Tiberium Alliances ist ein episches Strategie-MMO, das den Kampf in deinen Browser bringt. Kampfe in einem weltweiten Krieg um wertvolle Rohstoffe gegen deine Freunde oder mit ihnen.",,,MMA Overload US,https://www.mmaoverload.com,Shopping/Sports,48921,United States - 63.22,United Kingdom - 11.36,Australia - 5.93,Netherlands - 3.88,Russian Federation - 3.61,1435273,395188,5220
117833,Smoko UK,"Smoko, iSmoko, Electronic, cigarettes, smoking, aid",,,,Smoko UK,http://www.smoko.com,Shopping,11372,United Kingdom - 55.39,United States - 19.33,India - 7.48,Croatia - 4.14,Canada - 4.04,3518019,465914,231141
117830,Red Spotted Hanky UK,"Travel, rail, trains, red spotted hanky, flights, hotels, car hire, red spotted, holiday",,,,redspottedhanky UK,http://www.redspottedhanky.com,Travel,384273,United Kingdom - 90.94,United States - 2.98,Spain - 1.49,Poland - 1.07,Italy - 0.57,240487,14019,4926
117829,Physioroom DE,"Sport, Fussball, Verletzung, Rehabilitierung, Outdoor, Physio, Therapie, Reha, Wintersport, Rucken, Orthopadie, Erste, Hilfe, Physiotherapie, Bandagen, Gymnastik","PhysioRoom ist ein fuhrendes Online Unternehmen im Bereich Sportverletzungen. Das gro?e Produktsortiment umfasst Orthesen & Bandagen, Artikel zur Warme & Kalte Therapie, Erste Hilfe Produkte, Sporttapes, Fu?pflegeprodukte, Rehabilitierung & Fitness, Massage & Hautpflege, Rucken & Nackenpflege sowie Sportbekleidung und Zubehor.",,,Physioroom DE,http://www.physioroom.de
117840,prizewize DE,,PrizeWize ist Ihr Vergleichsrechner fur Tarife im Internet. Vergleichen Sie Strom - und Gastarife kostenlos. PrizeWize hilft Ihnen sogar beim Wechsel.,,,PrizeWize.de - Ihr Vergleichsrechner fA?r Tarife DE,http://www.pricewise.de,,,,,,,,,,
117837,Weirdfish UK,"Weird, Fish, Mens, Womens, Kids, Men, Women, Woman, casual, clothing, tees, ts",,,,Weird Fish UK,https://www.weirdfish.co.uk,Shopping,236207,United Kingdom - 84.11,Russian Federation - 8.96,United States - 1.60,Ireland - 1.32,France - 1.29,293456,19638,20585
117835,Voga DE,"voga, com, replikat, replik, design, mobel, designermobel, designer-mobel, designmobel, stuhle, hocker, beleuchtung, sofa, sofas, hang-it-all, einrichtung, Stolene, stolen, designer, stol, eames, chair, dsw, wegner, y, arne, jacobsen, stoler, eik, egg, replica, corona, moderne, the, stolar, fatolj, inredning, mobler, klassisk, klassiska, aggfatolj","Entdecken sie bei Voga hochwertige, handgefertigte Mobel und Beleuchtung fur ihr Zuhause. Angeboten werden unteranderem Stuhle, Sessel, Liegen und Banke, Tische und die verschiedensten Beleuchtungen.",,,VOGA Limited - SWEDEN [CLOSING 14/10/15] SE,http://www.voga.com,Shopping/Home_and_Garden,92679,Italy - 18.60,Norway - 16.65,France - 12.02,United Kingdom - 7.56,Germany - 7.04,853935,127634,4128
117831,SexShopUniverse ES,"SexShopUniverse, productos, eroticos, lenceria, bondage, CPA",,,,SexShopUniverse ES,http://www.sexshopuniverse.com
117827,parfumdeal DE,"Parfum, Deals, Duft, Kosmetik","Bei parfumdeal.de finden Sie Ihre Lieblingsdufte und Kosmetik von bekannten Marken wie Shiseido, Armani, Juvena, Dolce & Gabbana, Escada und viele andere zu gunstigen Preisen.",,,parfumdeal DE,http://www.parfumdeal.de
117841,Rasiermesser-Online DE,,,,,Rasiermesser-Online,http://www.rasiermesser-online.de,Shopping,0,,,,,,,,
117832,Sing and Dance ES,"sing, and, dance, canta, y, baile, ninos, educacion, juegos, infantiles, cpa",,,,Sing and Dance ES,http://singanddance.es
117823,Momondo UK,"momondo, travel, flights, airfares, flight, search, holidays, hotels, accommodation, cheap",,,,Momondo UK,http://www.momondo.co.uk,Travel/Tourism,2571420,United Kingdom - 70.23,Hungary - 8.87,Malawi - 2.62,United States - 1.20,Czech Republic - 1.09,26774,1460,232
117822,Momondo FR,"vol, momondo, billet davion, voyage",,,,Momondo FR,http://www.momondo.fr,Travel/Airlines_and_Airports,1244511,France - 65.54,Congo Republic - 6.95,Brazil - 4.94,Morocco - 3.24,562 - 2.56,53232,2822,177
117824,moms-dads-kids DE,"Online-Dating, Partnersuche fur Alleinerziehende, Singles mit Kind",,,,moms-dads-kids DE,http://www.moms-dads-kids.de,People_and_Society/Relationships_and_Dating,54710,Germany - 100.00,,,,,981509,55063,1897
117834,vidavida DE,"Gesundheit, Ernahrung, Schonheit",,,,vidavida DE,http://www.vidavida.de,Health/Nutrition,413708,Germany - 87.20,Austria - 7.87,Switzerland - 3.45,Spain - 1.10,Nigeria - 0.39,247388,14558,96
