id,name,keywords,description,public_notice,internal_notice,websitename,websiteadresse,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
100001,mypaper.de,,"mypaper, Onlineshop fur Buroartikel und Burobedarf, Ihr Buromarkt im Internet - 30.000 Buroartikel in 24h lieferbar",,,www.mypaper.de,http://www.mypaper.de,Shopping,3475,Germany - 100.00,,,,,12745245,1140381,660620
100002,zanox DE,,zanox Affiliate Marketing Netzwerk,,,zanox DE - Partner werben Partner,http://www.zanox.de,,,,,,,,,,
100003,Porzellantreff DE,,"Online-Shop fur Porzellan, Tischwasche, Glaser, Besteck, Keramik, Geschirr von Marken wie Rosenthal, Thomas, Villeroy & Boch, Arzberg, Hutschenreuther und andere.",,,Porzellantreff DE,http://www.porzellantreff.de,Shopping/Home_and_Garden,281291,Germany - 50.72,Russian Federation - 12.27,Ukraine - 6.15,Greece - 4.94,Switzerland - 3.62,327741,26863,1436
100004,AutoScout24 DE,,AutoScout24: Europas gro?er Automarkt fur Gebrauchtwagen und Neuwagen. Ihr Auto-Portal fur Autokauf & Autoverkauf mit News und Informationen rund um das Auto.,,,AutoScout24 a�� Europas grA�AYter Online-Automarkt DE,https://tracking.metalyzer.com,Unknown,2058420,Germany - 41.55,Romania - 7.55,Switzerland - 6.36,France - 5.84,Netherlands - 5.30,,,
100005,Deutschlands Musiknotenversand,,Notenbuch.de -  Deutschlands gro?em Musiknoten-Shop. Top-Preise!,,,Notenbuch DE,https://www.notenbuch.de,Shopping/Music,136506,Germany - 82.72,Austria - 5.19,Switzerland - 3.71,Chile - 1.76,Bulgaria - 1.22,562082,34259,246
100007,Yves Rocher DE,"Yves Rocher, cosmeticos, belleza, mujer","Bei Yves Rocher bekommen Sie Gesichtspflege, Korperpflege, Haarpflege, Sonnenpflege, Make-Up, Parfum und vieles mehr.","Ausgeschlossen von der Vergutung sind Bestellungen aus der Rubrik ""Versandangebot"" und ""Angebote per Post"" bzw. Kaufe mit einem Vorteils-Code.",02.10.2013 Brand von uns aus freigegeben,Yves Rocher DE,https://www.yves-rocher.de,Beauty_and_Fitness/Cosmetics,1071298,Germany - 96.71,Turkey - 0.60,Poland - 0.40,Ukraine - 0.24,Belgium - 0.23,78724,3310,65
143261,MagicWorldOnline US,,,,,MagicWorldOnline US,http://www.magicworldonline.com,Shopping,348,Uzbekistan - 100.00,,,,,37683744,204916,1471815
100008,Sport-Thieme DE,"Sport, Schwimmen, Psychomotorik, Fu?ball, Handball, Basketball, Volleyball, Volkerball, Turnen, Tennis, Tischtennis, Aerobic, Fitness, Badminton, Hockey, Lehrmittel, Boxen, Kraftsport, Body-Building, Ballett, Gymnastik, Bekleidung, Training, Bucher, Videos, Fun, Baseball, Street-Hockey, Leichtathletik, T-Shirts, Trikots, Bandagen, Schwimmbadbedarf, Freizeit","Sport Thieme bietet alles, was man fur den Sport benotigt: 8000 Produkte fur uber 80 Sportarten. Neben dem klassischen Programm an Schuhen und Kleidung bilden Sportausrustungen und Sportanlagen fur viele Sportarten einen weiteren Schwerpunkt. Fur Schul-, Vereins- und Schwimmsport ist das Angebot fast grenzenlos.",,,Sport-Thieme DE,http://www.sport-thieme.de,Shopping/Sports,608354,Germany - 93.57,Switzerland - 1.61,Austria - 1.52,Russian Federation - 0.59,China - 0.55,154605,7577,587
100010,DataBecker DE,,"Software, Bucher & Zubehor: Riesenauswahl direkt vom Hersteller. Innovative Software, kompetente Literatur und Zubehor rund um Ihren Computer. Hier finden Sie Losungen fur Hobby, Handwerk, Handel und E-Business.",,,"Data Becker - Software, Bucher & IT-Zubehor DE",http://www.databecker.de,Computer_and_Electronics/Software,14521,Germany - 75.19,Austria - 9.12,Switzerland - 7.18,Belgium - 3.84,India - 2.93,3106448,233090,40385
100012,Vodafone DE,"Online, Wireless, Vodafone, Surf-Sofort-Paket, DSL, Notebook, Mobiles, Internet","Vodafone.de ist ein Mobilfunkanbieter mit verschiedenen Handytarifen, Surfflatrates und DSL-Flats.",,"21.01.2015 Stefan Haffner (betreut auch Kabel Deutschland) wunschst Infos uber Bewerbungsmethoden. Der Typ ist ne ""schwarze Witwe"". Infos-Mail mit Ubersicht rausgesendet. Ich vermute, dass er danach wieder Restriktionen auferlegt.",Vodafone D2 Onlineshop DE,http://www.vodafone.de,Internet_and_Telecom/Telecommunications,62625199,Germany - 97.39,Switzerland - 0.44,Austria - 0.43,Spain - 0.19,Netherlands - 0.16,1280,45,25
